duration,Q_RelevantIDFraudScore,gender,nationality,ethnicity,age,preferred_game_name,gaming_time,gaming_related_activities_time,online_gaming_time,offline_gaming_time,playing_esports,rank,team_membership,playing_with_offline_friends,MOGQ_social1,MOGQ_social2,MOGQ_social3,MOGQ_social4,MOGQ_escape1,MOGQ_escape2,MOGQ_escape3,MOGQ_escape4,MOGQ_competition1,MOGQ_competition2,MOGQ_competition3,MOGQ_competition4,MOGQ_coping1,MOGQ_coping2,MOGQ_coping3,MOGQ_coping4,IGCQ_1,IGCQ_2,IGCQ_3,IGCQ_4,attention_check_1,IGDS9SF_1,IGDS9SF_2,IGDS9SF_3,IGDS9SF_4,IGDS9SF_5,IGDS9SF_6,IGDS9SF_7,IGDS9SF_8,IGDS9SF_9,GDT_1,GDT_2,GDT_3,GDT_4,IGD_alternative_criterion2,IGD_alternative_criterion5,IGD_alternative_criterion6,IGD_alternative_criterion3,IGD_alternative_craving,IGD_alternative_health,BFRS_1,BFRS_2,BFRS_3,BFRS_4,BFRS_5,BFRS_6,BFRS_7,BSCS_1,BSCS_2,BSCS_3,BSCS_4,BSCS_5,BSCS_6,BSCS_7,BSCS_8,BSCS_9,BSCS_10,BSCS_11,BSCS_12,BSCS_13,attention_check_2,neuroticism_1,neuroticism_2,neuroticism_3,neuroticism_4,neuroticism_5,neuroticism_6,neuroticism_7,neuroticism_8,neuroticism_9,neuroticism_10,DJGLS_1,DJGLS_2,DJGLS_3,DJGLS_4,DJGLS_5,DJGLS_6,harm_avoidance_1,harm_avoidance_2,harm_avoidance_3,harm_avoidance_4,harm_avoidance_5,harm_avoidance_6,harm_avoidance_7,harm_avoidance_8,harm_avoidance_9,harm_avoidance_10,BAS_reward_1,BAS_reward_2,BAS_reward_3,BAS_reward_4,BAS_reward_5,
995,0,Male,Poland,White,24,League of Legends,8,2,75,25,Yes,Gold,Yes,Often,Some of time,,,Half of the time,Most of the time,,,Most of the time,Some of time,Half of the time,,,,Most of the time,Most of the time,,No agreement,No agreement,No agreement,Agree,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Somewhat,Somewhat,,,Somewhat,A lot,,3,,4,,,,4,3,,4,3,,4,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,Moderately Accurate,,Moderately Accurate,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,,Neither agree nor disagree,,,Agree,,Agree,,,Moderately Accurate,Neither Accurate Nor Inaccurate,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Moderately Inaccurate,,,,Very true for me,Somewhat true for me,,Somewhat true for me,,
1515,0,Male,Portuguese,White,19,League of Legends,8,2,80,20,Yes,Diamond,No,Rarely,,,Almost never/never,Most of the time,Half of the time,Half of the time,,,Some of time,,,Some of time,,Most of the time,Almost never/never,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Often,Rarely,Sometimes,Sometimes,Very often,Sometimes,Never,Never,Very often,Never,Very often,Sometimes,Sometimes,Never,Rarely,Never,Very often,Never,Sometimes,Never,A lot,Not at all,,,,A lot,A lot,2,3,,5       Very much,5       Very much,,5       Very much,1 Not at all,,3,,,,Moderately Inaccurate,,,Neither Accurate Nor Inaccurate,Very Accurate,,Very Inaccurate,,Very Inaccurate,,Very Inaccurate,,Strongly disagree,Agree,Strongly disagree,,,Neither Accurate Nor Inaccurate,,Very Accurate,Very Inaccurate,Very Inaccurate,Moderately Inaccurate,,,,,,Somewhat true for me,,Very true for me,Somewhat true for me,
319,0,Female,portuguese,white,19,fps,3,1,90,10,Yes,silver,No,Very often,,,Most of the time,Half of the time,Most of the time,,Almost always/always,,Almost always/always,Almost always/always,,,,Most of the time,Some of time,,Agree,No agreement,No agreement,No agreement,Often,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Sometimes,Never,Never,Never,Often,Never,Rarely,Rarely,Often,Rarely,Sometimes,Rarely,A lot,,,,A lot,A lot,A lot,2,,3,,3,,,3,,2,,2,4,Moderately Inaccurate,,,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,,,,Disagree,,,Strongly agree,Agree,,,,Moderately Accurate,Moderately Accurate,,,Neither Accurate Nor Inaccurate,,Very Accurate,Neither Accurate Nor Inaccurate,,Somewhat true for me,Somewhat true for me,,Very true for me,
340,0,Male,Portuguese,White,22,League of Legends,4,5,50,50,Yes,Platinum,No,Very often,,Some of time,,Almost always/always,Most of the time,,,Most of the time,Half of the time,,Half of the time,,,Some of time,,Some of time,Agree,Strongly Agree,Agree,No agreement,Often,Often,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Never,Sometimes,Often,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Somewhat,Somewhat,Somewhat,,Somewhat,,,2,,,5       Very much,4,,5       Very much,2,2,,,,2,Moderately Inaccurate,,,,Very Inaccurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,,Moderately Inaccurate,,,,Strongly agree,Strongly agree,Strongly agree,,,Neither Accurate Nor Inaccurate,Moderately Accurate,,,,,Very Inaccurate,Very Inaccurate,Moderately Inaccurate,Very true for me,Very true for me,,Very true for me,,
332,0,Male,chile,latino,23,br,2,2,50,50,Yes,gold,No,Rarely,Some of time,,,Some of time,Almost always/always,,,Some of time,Most of the time,,,Most of the time,,Half of the time,Almost never/never,,Agree,Agree,No agreement,No agreement,Often,Sometimes,Never,Rarely,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Rarely,Never,Rarely,Rarely,Never,Never,Never,Never,Somewhat,Somewhat,Somewhat,Somewhat,,,,4,,,,3,2,,4,,1 Not at all,,2,3,Moderately Accurate,Moderately Inaccurate,,Very Inaccurate,Moderately Inaccurate,,Moderately Accurate,,,,Moderately Inaccurate,Strongly agree,,,Agree,Strongly agree,,Moderately Accurate,,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,,,Moderately Inaccurate,,,,Very true for me,Very true for me,Very true for me,,
540,0,Male,British,White,21,League of Legends,3,2,70,30,Yes,Platinum,No,Very often,,,Almost always/always,Almost always/always,Most of the time,,,Most of the time,Some of time,,Some of time,,Half of the time,Almost always/always,,,No agreement,Agree,No agreement,Agree,Often,Sometimes,Never,Rarely,Never,Rarely,Never,Never,Often,Never,Never,Never,Never,Never,Rarely,Sometimes,Never,Rarely,Sometimes,Rarely,A lot,,A lot,A lot,,,A lot,5       Very much,3,,4,3,3,,2,,,3,,,Moderately Inaccurate,,,Neither Accurate Nor Inaccurate,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Very Inaccurate,,Moderately Accurate,,,Neither agree nor disagree,,,Agree,,Neither agree nor disagree,Very Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,,,Neither Accurate Nor Inaccurate,,,,Very true for me,Very true for me,,Very true for me,,
589,0,Male,Polish,White,20,CS:GO,4,3,93,7,Yes,Global,No,Often,,,Most of the time,Most of the time,Almost always/always,,Most of the time,,Some of time,Half of the time,,,,Most of the time,,Half of the time,Agree,No agreement,No agreement,Strongly Agree,Often,Never,Sometimes,Often,Rarely,Rarely,Rarely,Never,Often,Never,Often,Never,Very often,Never,Sometimes,Rarely,Sometimes,Sometimes,Often,Very often,Somewhat,Somewhat,Not at all,,,Somewhat,,5       Very much,3,,,4,,2,4,3,,,,2,Moderately Inaccurate,,,Neither Accurate Nor Inaccurate,Moderately Inaccurate,,Moderately Accurate,,Very Accurate,,Very Accurate,,,,Strongly agree,Agree,Neither agree nor disagree,,Moderately Accurate,Moderately Accurate,,,Very Accurate,,Moderately Inaccurate,,Very Inaccurate,,Very true for me,Somewhat true for me,,Very true for me,
749,0,Male,Portuguese,Caucasian,20,Action games,7,3,60,40,Yes,Gold III (League of Legends),No,Sometimes,,Most of the time,,Almost always/always,Most of the time,,Almost always/always,,Almost always/always,Most of the time,,,,Half of the time,,Half of the time,No agreement,Agree,Strongly Agree,Agree,Often,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Rarely,Never,Never,Rarely,Never,Never,Rarely,Rarely,Sometimes,Rarely,Somewhat,,,A lot,Somewhat,,A lot,3,1 Not at all,4,3,2,,,4,,,,,1 Not at all,Moderately Inaccurate,Moderately Inaccurate,,Moderately Inaccurate,Moderately Inaccurate,,Moderately Accurate,,,Moderately Accurate,,,Strongly agree,Agree,Agree,,,,Moderately Inaccurate,Moderately Inaccurate,,,,,Moderately Accurate,Moderately Accurate,Moderately Accurate,,Very true for me,,Very true for me,Somewhat true for me,
818,0,Male,Poland,Poland,20,League of Legends,8,3,80,20,Yes,Gold,No,Often,,Almost always/always,,Most of the time,Some of time,,,Half of the time,Almost always/always,,,Almost always/always,,Some of time,Almost never/never,,Agree,Strongly Agree,Agree,No agreement,Often,Sometimes,Never,Sometimes,Often,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Sometimes,Never,Sometimes,Rarely,Never,Sometimes,Often,Sometimes,A lot,Not at all,,A lot,A lot,,,2,2,,,1 Not at all,4,,3,3,,4,,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,,,Neither Accurate Nor Inaccurate,,Agree,Agree,Agree,,,Very Inaccurate,,Moderately Inaccurate,,,Neither Accurate Nor Inaccurate,Very Inaccurate,,Moderately Inaccurate,,Very true for me,Somewhat true for me,Somewhat true for me,,,
667,0,Male,Portuguese,White,22,Dead By Daylight,6,3,40,60,Yes,Platinum III,No,Sometimes,,Some of time,,Half of the time,Almost always/always,Most of the time,,,Most of the time,,,Some of time,,Half of the time,,Some of time,Agree,Agree,No agreement,Strongly Agree,Often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,Never,Sometimes,Never,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Often,Never,A lot,,A lot,,A lot,,A lot,3,3,,,2,,4,2,,3,,2,,Moderately Inaccurate,,,Very Inaccurate,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,Moderately Accurate,Moderately Accurate,,Disagree,,,Agree,Neither agree nor disagree,,,,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,,,Very Inaccurate,,Very true for me,Somewhat true for me,Very true for me,,,
453,0,Male,portuguese,white,19,first person shooter,3,4,75,25,Yes,Global Elite,Yes,Very often,Almost never/never,,,Some of time,Some of time,,Most of the time,,Most of the time,,,Some of time,,Almost always/always,Almost never/never,,Agree,No agreement,No agreement,Agree,Often,Never,Often,Rarely,Never,Sometimes,Sometimes,Never,Rarely,Never,Never,Rarely,Rarely,Never,Sometimes,Often,Sometimes,Rarely,Often,Never,Somewhat,,Somewhat,A lot,,,A lot,4,,2,,,,3,5       Very much,1 Not at all,,5       Very much,2,,Moderately Inaccurate,,Very Inaccurate,,Moderately Inaccurate,Very Inaccurate,Very Accurate,,,,Very Accurate,,,Agree,Strongly agree,,Strongly disagree,,,Moderately Accurate,Moderately Accurate,,,,Moderately Accurate,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,Very true for me,,Very true for me,Very true for me,
762,0,Male,Mexican,Latin,22,Fortnite,3,3,100,0,Yes,Champion League,No,Never,,,Almost always/always,Most of the time,Most of the time,,Half of the time,,Almost always/always,,,Almost always/always,Almost always/always,Almost always/always,,,No agreement,No agreement,No agreement,Strongly Agree,Often,Sometimes,Never,Never,Rarely,Often,Never,Never,Often,Never,Never,Never,Often,Never,Never,Often,Never,Never,Sometimes,Often,A lot,,A lot,A lot,,A lot,,3,5       Very much,,,3,3,5       Very much,2,,,3,,,Moderately Inaccurate,,,,Moderately Accurate,Neither Accurate Nor Inaccurate,Moderately Accurate,,Neither Accurate Nor Inaccurate,Moderately Accurate,,,,Strongly agree,Strongly agree,Strongly disagree,,,,Very Accurate,Neither Accurate Nor Inaccurate,Very Inaccurate,Neither Accurate Nor Inaccurate,Very Inaccurate,,,,,Very true for me,,Very true for me,Very true for me,
592,0,Male,Latvian,White,37,rpg,4,1,50,50,Yes,,No,Never,Almost never/never,,,Almost never/never,Half of the time,Half of the time,,,Most of the time,Half of the time,,,,Some of time,Almost never/never,,No agreement,Agree,No agreement,Agree,Often,Sometimes,Rarely,Never,Rarely,Never,Rarely,Often,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Never,Somewhat,,,Not at all,Somewhat,Somewhat,,5       Very much,4,,2,,2,,3,,2,,4,,Moderately Inaccurate,,Very Accurate,Moderately Accurate,Very Inaccurate,Neither Accurate Nor Inaccurate,Moderately Accurate,,,,,,Disagree,Strongly disagree,Disagree,,,,,Very Accurate,,,Moderately Inaccurate,Very Inaccurate,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,Somewhat true for me,Somewhat true for me,Somewhat false for me,,,
558,0,Male,Portuguese,White,20,League of Legends,2,6,90,10,Yes,Platinum,No,Very often,Some of time,,,Most of the time,Some of time,,Half of the time,,Half of the time,Some of time,,,,Half of the time,Almost never/never,,Agree,Agree,No agreement,Strongly Agree,Often,Rarely,Rarely,Rarely,Sometimes,Sometimes,Often,Never,Very often,Never,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Very often,Somewhat,,,,Not at all,Somewhat,Somewhat,4,3,,3,2,4,,3,,,,,2,Moderately Inaccurate,,,Very Inaccurate,Moderately Inaccurate,,Moderately Accurate,Neither Accurate Nor Inaccurate,,,Neither Accurate Nor Inaccurate,Strongly agree,Agree,,Strongly agree,,,Moderately Accurate,,Very Accurate,,Very Inaccurate,,,,Moderately Inaccurate,Very Inaccurate,,Somewhat true for me,,Somewhat true for me,Very true for me,
496,0,Male,Polish,polish,26,Counter Strike: Global Offensive,3,0,70,30,Yes,Legendary Eagle,No,Sometimes,Half of the time,,,Some of time,Some of time,,Most of the time,,Most of the time,,,Most of the time,Most of the time,Most of the time,,,No agreement,No agreement,Agree,Agree,Often,Rarely,Often,Rarely,Rarely,Never,Rarely,Never,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,A lot,,Somewhat,A lot,A lot,,,4,,,4,,3,,3,4,3,3,,,Moderately Inaccurate,,,Neither Accurate Nor Inaccurate,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,Moderately Accurate,,Disagree,,,Agree,,Disagree,,,Moderately Inaccurate,,Very Inaccurate,Moderately Accurate,,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Somewhat true for me,Somewhat true for me,,,Somewhat true for me,
800,0,Male,Greek,Greek,28,Triple A Single Players,3,2,50,50,Yes,Diamond,No,Often,Some of time,,,Some of time,Almost always/always,Most of the time,,,Most of the time,Most of the time,,,,Half of the time,,Most of the time,No agreement,No agreement,No agreement,Agree,Often,Sometimes,Never,Sometimes,Never,Rarely,Never,Never,Often,Rarely,Rarely,Often,Never,Never,Never,Rarely,Sometimes,Rarely,Sometimes,Sometimes,A lot,Not at all,,A lot,A lot,,,2,,3,4,,,,3,3,2,,4,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,Moderately Inaccurate,,Moderately Accurate,,,,Strongly agree,,Strongly agree,,Disagree,,Neither Accurate Nor Inaccurate,Moderately Accurate,,Moderately Inaccurate,,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,,Very true for me,,Very true for me,Very true for me,
1036,0,Male,spanish,caucasic,35,shooters,1,2,77,23,Yes,master guardian elite,Yes,Often,Almost always/always,,,Almost always/always,Almost always/always,,Most of the time,,Almost always/always,Most of the time,,,,Most of the time,Most of the time,,Agree,Agree,Strongly Agree,Agree,Often,Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Often,Often,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Often,Sometimes,Often,Often,Sometimes,Somewhat,,Somewhat,,,Not at all,Somewhat,4,,,3,,5       Very much,,4,3,,4,,3,Moderately Inaccurate,,,,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,,Moderately Accurate,,,,Neither agree nor disagree,Strongly disagree,Agree,,,,Very Accurate,,Moderately Inaccurate,Moderately Accurate,,,Neither Accurate Nor Inaccurate,Moderately Inaccurate,,Very true for me,Very true for me,,Very true for me,
