duration,Q_RelevantIDFraudScore,gender,nationality,ethnicity,age,gaming_time,gaming_related_activities_time,online_gaming_time,offline_gaming_time,playing_esports,preferred_game_name,preffered_esports_game_name,rank,team_membership,playing_with_offline_friends,MOGQ_social1,MOGQ_social2,MOGQ_social3,MOGQ_social4,MOGQ_escape1,MOGQ_escape2,MOGQ_escape3,MOGQ_escape4,MOGQ_competition1,MOGQ_competition2,MOGQ_competition3,MOGQ_competition4,MOGQ_coping1,MOGQ_coping2,MOGQ_coping3,MOGQ_coping4,IGCQ_1,IGCQ_2,IGCQ_3,IGCQ_4,attention_check_1,IGDS9SF_1,IGDS9SF_2,IGDS9SF_3,IGDS9SF_4,IGDS9SF_5,IGDS9SF_6,IGDS9SF_7,IGDS9SF_8,IGDS9SF_9,GDT_1,GDT_2,GDT_3,GDT_4,IGD_alternative_criterion2,IGD_alternative_criterion5,IGD_alternative_criterion6,IGD_alternative_criterion3,IGD_alternative_craving,IGD_alternative_health,BFRS_1,BFRS_2,BFRS_3,BFRS_4,BFRS_5,BFRS_6,BFRS_7,BSCS_1,BSCS_2,BSCS_3,BSCS_4,BSCS_5,BSCS_6,BSCS_7,BSCS_8,BSCS_9,BSCS_10,BSCS_11,BSCS_12,BSCS_13,attention_check_2,neuroticism_1,neuroticism_2,neuroticism_3,neuroticism_4,neuroticism_5,neuroticism_6,neuroticism_7,neuroticism_8,neuroticism_9,neuroticism_10,DJGLS_1,DJGLS_2,DJGLS_3,DJGLS_4,DJGLS_5,DJGLS_6,harm_avoidance_1,harm_avoidance_2,harm_avoidance_3,harm_avoidance_4,harm_avoidance_5,harm_avoidance_6,harm_avoidance_7,harm_avoidance_8,harm_avoidance_9,harm_avoidance_10,BAS_reward_1,BAS_reward_2,BAS_reward_3,BAS_reward_4,BAS_reward_5,
379,0,Male,Portuguese,White,21,8,10,70,30,No,MOBA,,,No,Often,,Some of time,,Half of the time,Most of the time,,Most of the time,,Most of the time,Half of the time,,,,Most of the time,Some of time,,Agree,Agree,Agree,Agree,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Never,Somewhat,Not at all,,Somewhat,,Somewhat,,4,2,3,1 Not at all,,,,3,,,2,,2,Moderately Accurate,,,,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,,Agree,,,Neither agree nor disagree,Neither agree nor disagree,,,Moderately Inaccurate,Very Accurate,,Very Inaccurate,,,Very Inaccurate,Neither Accurate Nor Inaccurate,,Somewhat true for me,Somewhat true for me,Somewhat false for me,,,
317,0,Male,Portuguese,Caucasian,22,4,4,80,20,No,League of Legends,,,No,Never,Almost never/never,,,Half of the time,Some of time,,Some of time,,Some of time,Most of the time,,,,Half of the time,,Some of time,No agreement,No agreement,No agreement,Agree,Often,Rarely,Rarely,Rarely,Rarely,Sometimes,Often,Never,Rarely,Never,Rarely,Often,Often,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Often,Somewhat,Not at all,Somewhat,,,,Somewhat,3,,,,4,4,3,3,5       Very much,,,3,,Moderately Accurate,,,Moderately Inaccurate,Moderately Inaccurate,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,,,Neither agree nor disagree,,Agree,,Disagree,,Neither Accurate Nor Inaccurate,Moderately Accurate,,,,Moderately Inaccurate,,Moderately Inaccurate,Moderately Inaccurate,Somewhat true for me,Somewhat true for me,,,Very true for me,
305,0,Male,Polish,Polish,25,5,2,90,10,No,Path of Exile,,,Yes,Very often,Most of the time,,,Most of the time,Most of the time,Some of time,,,Almost always/always,,Almost always/always,,,Some of time,Most of the time,,Agree,Agree,No agreement,Agree,Often,Rarely,Rarely,Sometimes,Often,Sometimes,Often,Never,Often,Rarely,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Often,Rarely,A lot,Not at all,,A lot,Somewhat,,,2,,,5       Very much,,1 Not at all,,5       Very much,,3,4,4,,Moderately Inaccurate,,Very Inaccurate,,Neither Accurate Nor Inaccurate,Very Inaccurate,Moderately Accurate,,,Very Inaccurate,,,Neither agree nor disagree,,Agree,,Neither agree nor disagree,Moderately Inaccurate,,Very Accurate,,Very Accurate,,,Moderately Inaccurate,Moderately Inaccurate,,,Very true for me,,Very true for me,Very true for me,
742,0,Male,Portuguese,White,23,5,4,30,70,Yes,,League of Legends,Gold,Yes,Very often,Half of the time,,,Most of the time,Most of the time,,Most of the time,,Some of time,,,Some of time,Most of the time,Most of the time,,,No agreement,No agreement,No agreement,Agree,Often,Rarely,Rarely,Sometimes,Rarely,Often,Never,Never,Very often,Never,Sometimes,Often,Sometimes,Sometimes,Never,Sometimes,Often,Sometimes,Sometimes,Rarely,A lot,,A lot,,A lot,,A lot,3,,,2,1 Not at all,,5       Very much,4,,,,4,2,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,,Very Accurate,,Moderately Accurate,,,Moderately Inaccurate,,,Disagree,,Agree,,Neither agree nor disagree,,,Very Accurate,,,Very Inaccurate,Very Inaccurate,Moderately Inaccurate,,Very Inaccurate,Very true for me,Very true for me,Somewhat true for me,,,
752,0,Male,Estonian,White,18,4,3,85,15,No,Fifa 21,,,Yes,Never,,Some of time,,Most of the time,Half of the time,,,Most of the time,Most of the time,Half of the time,,,,Most of the time,Some of time,,No agreement,Agree,No agreement,Agree,Often,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Often,Never,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Often,Rarely,Often,Never,Somewhat,,,Somewhat,Somewhat,,Somewhat,3,,,,4,4,2,3,2,,,3,,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,Moderately Inaccurate,Moderately Accurate,,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,,Agree,Strongly disagree,,Disagree,,,Neither Accurate Nor Inaccurate,,Moderately Accurate,Neither Accurate Nor Inaccurate,,Moderately Inaccurate,,Moderately Inaccurate,,,,Somewhat true for me,Somewhat true for me,Somewhat true for me,,
368,0,Male,italy,white caucasian,23,6,5,70,30,No,rpg,,,No,Often,,Most of the time,,Most of the time,Half of the time,,,Some of time,Half of the time,,,Half of the time,,Most of the time,Some of time,,No agreement,No agreement,No agreement,Agree,Often,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Often,Never,Sometimes,Often,Rarely,Rarely,Often,Rarely,Sometimes,Sometimes,Sometimes,Often,Somewhat,Not at all,,,Somewhat,Somewhat,,3,,,3,,2,,3,,4,4,4,,Moderately Accurate,,,Moderately Inaccurate,Very Inaccurate,Moderately Accurate,Neither Accurate Nor Inaccurate,,,Neither Accurate Nor Inaccurate,,,,Disagree,Neither agree nor disagree,Agree,,Moderately Accurate,,Moderately Inaccurate,Moderately Accurate,,Neither Accurate Nor Inaccurate,Moderately Inaccurate,,,,,Somewhat true for me,Somewhat true for me,Somewhat true for me,,
467,0,Male,Czech,White European,19,5,2,12,88,No,Strategy,,,No,Very often,,,Some of time,Almost never/never,Almost never/never,,,Almost never/never,Some of time,,,Some of time,Half of the time,Most of the time,,,Agree,No agreement,Strongly Agree,No agreement,Often,Sometimes,Never,Never,Never,Rarely,Never,Rarely,Sometimes,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Rarely,Rarely,Sometimes,Never,A lot,A lot,Somewhat,,,,A lot,5       Very much,2,,4,,,,4,,,5       Very much,1 Not at all,2,Moderately Inaccurate,,,,Moderately Inaccurate,,Very Inaccurate,Moderately Inaccurate,Moderately Accurate,,Neither Accurate Nor Inaccurate,,Strongly agree,,Strongly agree,,Disagree,Very Inaccurate,Neither Accurate Nor Inaccurate,Moderately Inaccurate,Moderately Accurate,,,,,Moderately Accurate,,Somewhat false for me,Somewhat false for me,Somewhat false for me,,,
570,0,Male,Polish,White,23,2,1,80,20,Yes,,Counter Strike Global Offensive ,Supreme Master First Class,No,Often,Almost never/never,,,Almost never/never,Half of the time,Almost never/never,,,Most of the time,,Half of the time,,,Half of the time,,Half of the time,No agreement,No agreement,No agreement,No agreement,Often,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Never,Rarely,Never,Rarely,Never,Rarely,Never,A lot,,A lot,A lot,A lot,,,3,,2,4,,,2,2,4,,4,,,Moderately Inaccurate,,Very Inaccurate,,Very Inaccurate,,Moderately Accurate,,Very Accurate,,Very Accurate,,Strongly agree,Strongly agree,Agree,,,Very Inaccurate,,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,,,Moderately Inaccurate,,,,Very true for me,Very true for me,,Very true for me,
401,0,Male,portuguese,white,18,18,16,100,0,No,counter strike,,,No,Rarely,Half of the time,,,Most of the time,Most of the time,,Half of the time,,Most of the time,Almost always/always,,,,Most of the time,Most of the time,,Agree,Agree,Agree,Agree,Often,Rarely,Rarely,Never,Sometimes,Never,Often,Never,Sometimes,Never,Rarely,Rarely,Sometimes,Often,Often,Often,Rarely,Rarely,Sometimes,Sometimes,A lot,,Somewhat,Somewhat,,,Somewhat,2,,3,,,2,,3,,3,3,,2,Moderately Inaccurate,,,Moderately Inaccurate,Very Inaccurate,,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,,,Agree,Agree,,Agree,,Neither Accurate Nor Inaccurate,Moderately Inaccurate,Moderately Inaccurate,,,,Neither Accurate Nor Inaccurate,,Moderately Inaccurate,,Very true for me,,Somewhat true for me,Somewhat true for me,
602,0,Male,Canadian,Slavic,28,4,1,15,85,No,RPG,,,No,Often,,,Almost always/always,Some of time,Half of the time,Almost never/never,,,Some of time,Half of the time,,,,Most of the time,Half of the time,,No agreement,No agreement,No agreement,No agreement,Often,Often,Rarely,Rarely,Sometimes,Sometimes,Never,Very often,Sometimes,Never,Sometimes,Rarely,Rarely,Never,Sometimes,Sometimes,Very often,Rarely,Often,Often,Somewhat,,Not at all,Somewhat,,,Somewhat,2,5       Very much,,4,4,,5       Very much,3,,,,2,,Moderately Inaccurate,,Moderately Accurate,,Moderately Accurate,Very Accurate,Moderately Inaccurate,,,,Neither Accurate Nor Inaccurate,Disagree,Agree,,Agree,,,Moderately Accurate,,Very Accurate,,Very Inaccurate,Neither Accurate Nor Inaccurate,,Very Inaccurate,,,,Very true for me,,Very true for me,Very true for me,
478,0,Male,Polish,White-Caucasian,19,12,4,50,50,No,Strategy,,,No,Very often,,Most of the time,,Some of time,Some of time,,,Some of time,Half of the time,,Half of the time,,Most of the time,Most of the time,,,Agree,Agree,No agreement,Agree,Often,Often,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Rarely,Often,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,A lot,Somewhat,,,A lot,A lot,,3,,,,,4,4,5       Very much,,2,5       Very much,,1 Not at all,Moderately Inaccurate,Moderately Inaccurate,,Very Inaccurate,Very Inaccurate,,Very Accurate,Neither Accurate Nor Inaccurate,,,,,,,Agree,Disagree,Disagree,,,Very Accurate,,Very Inaccurate,Moderately Accurate,Very Inaccurate,,,Moderately Inaccurate,,Very true for me,,Somewhat true for me,Somewhat true for me,
318,0,Male,Canadian,Chinese,23,4,6,100,0,Yes,,League,Plat,No,Rarely,,,Almost always/always,Most of the time,Half of the time,,Most of the time,,Almost always/always,,Almost always/always,,,Most of the time,,Most of the time,No agreement,Agree,No agreement,Agree,Often,Sometimes,Rarely,Rarely,Never,Sometimes,Never,Never,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes,A lot,,Somewhat,Somewhat,,,Somewhat,2,,,,5       Very much,,5       Very much,2,5       Very much,3,,,4,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Neither Accurate Nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,,,,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,,Neither Accurate Nor Inaccurate,,,,,Very true for me,,Very true for me,Very true for me,
448,0,Male,Polish,Polish,20,7,1,90,10,Yes,,League of Legends,Platinum 2,No,Sometimes,,Some of time,,Some of time,Some of time,Some of time,,,Almost always/always,Most of the time,,,Most of the time,Half of the time,,,Agree,No agreement,Agree,No agreement,Often,Never,Rarely,Rarely,Rarely,Never,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Never,Rarely,Never,Sometimes,Rarely,Rarely,Sometimes,Somewhat,,A lot,,,Somewhat,Somewhat,4,3,,,,3,,2,,4,5       Very much,2,,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,,Neither Accurate Nor Inaccurate,Moderately Accurate,Agree,,,Disagree,Agree,,Neither Accurate Nor Inaccurate,Very Accurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,,,,,,Very true for me,Very true for me,,,Somewhat true for me,
432,0,Male,Hungarian,White,23,6,2,85,15,No,Battlefield V,,,No,Rarely,,Most of the time,,Most of the time,Most of the time,,,Almost always/always,Half of the time,,Some of time,,,Most of the time,,Most of the time,No agreement,No agreement,Agree,No agreement,Often,Rarely,Never,Never,Never,Never,Never,Never,Often,Never,Never,Rarely,Rarely,Never,Rarely,Never,Sometimes,Never,Rarely,Rarely,Somewhat,Not at all,Not at all,Not at all,,,,3,,4,,3,,3,3,3,,4,,,Moderately Inaccurate,,Moderately Accurate,,Moderately Accurate,,Moderately Accurate,,,Neither Accurate Nor Inaccurate,Moderately Inaccurate,,,,Agree,Neither agree nor disagree,Neither agree nor disagree,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,,,,Moderately Accurate,Very true for me,Somewhat true for me,,Very true for me,,
445,0,Male,polish,white,20,5,2,5,95,No,RPG,,,No,Often,,Almost never/never,,Most of the time,Almost always/always,Half of the time,,,Almost never/never,Some of time,,,,Most of the time,,Most of the time,No agreement,No agreement,Agree,Agree,Often,Often,Never,Rarely,Sometimes,Rarely,Rarely,Never,Very often,Never,Often,Often,Often,Sometimes,Never,Never,Sometimes,Rarely,Often,Rarely,Somewhat,Not at all,,,Somewhat,Somewhat,,1 Not at all,,4,3,,,5       Very much,2,5       Very much,5       Very much,,,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,Very Accurate,Moderately Accurate,,Very Inaccurate,Neither Accurate Nor Inaccurate,,,,Strongly agree,,Disagree,Disagree,,,,,Very Accurate,,,,Very Inaccurate,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,Moderately Inaccurate,,Very true for me,,Very true for me,Somewhat true for me,
642,0,Male,Swedish,White? caucasian?,29,9,5,95,5,Yes,,"depends on your defenition of ""esports game"" cuz that can be anything. But right now I play WoW, world of warcraft. Before I played Dota 2.","Dota 2, Immortal. WoW. Elite.",No,Very often,,,Almost always/always,Almost always/always,Almost always/always,,Almost always/always,,Almost always/always,Almost always/always,,,,Almost always/always,,Almost always/always,No agreement,No agreement,No agreement,No agreement,Often,Often,Never,Never,Never,Sometimes,Never,Rarely,Very often,Never,Never,Sometimes,Sometimes,Never,Rarely,Never,Very often,Never,Very often,Never,A lot,Somewhat,,,A lot,A lot,,2,4,,,5       Very much,,5       Very much,2,,3,1 Not at all,,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Neither Accurate Nor Inaccurate,Moderately Accurate,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,,,Strongly agree,,,Agree,,Neither agree nor disagree,,Very Inaccurate,Neither Accurate Nor Inaccurate,,,,Very Inaccurate,Moderately Inaccurate,,Very Inaccurate,Somewhat true for me,Somewhat true for me,,,Somewhat true for me,
339,0,Male,Spanish,White/hispanic,23,4,8,30,70,Yes,,Dota 2,Immortal,No,Sometimes,,Almost never/never,,Some of time,Almost never/never,,Almost never/never,,Most of the time,,,Half of the time,Some of time,Almost never/never,,,No agreement,No agreement,No agreement,Agree,Often,Rarely,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Somewhat,Not at all,Somewhat,Somewhat,,,,2,,5       Very much,3,,,5       Very much,3,,3,,,4,Moderately Inaccurate,,Moderately Inaccurate,,Very Inaccurate,Very Inaccurate,Very Accurate,,Moderately Accurate,,,Disagree,,Neither agree nor disagree,Agree,,,,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,Very Accurate,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Very true for me,Very true for me,,Very true for me,
